length_cm,sed_WRND,sed_SHLF,sed_QRND,rcb_WRND,rcb_SHLF,rcb_QRND,sed_CUBE,rcb_CUBE,sed_WDGE,rcb_WDGE,sed_CYL,rcb_CYL
1,35,17.5,8.75,26.79,13.395,6.6975,7,7,5,5,5,5
2,71,35.5,17.75,53.58,26.79,13.395,7,7,10,10,10,10
3,106,53,26.5,80.37,40.185,20.0925,7,7,10,10,10,10
4,141,70.5,35.25,107.16,53.58,26.79,7,7,10,10,10,10
5,176,88,44,133.95,66.975,33.4875,7,7,10,10,10,10
6,212,106,53,160.74,80.37,40.185,7,7,10,10,10,10
7,247,123.5,61.75,187.53,93.765,46.8825,7,7,10,10,10,10
8,282,141,70.5,214.32,107.16,53.58,7,7,10,10,10,10
9,317,158.5,79.25,241.11,120.555,60.2775,7,7,10,10,10,10
10,353,176.5,88.25,267.9,133.95,66.975,7,7,10,10,10,10
11,388,194,97,294.69,147.345,73.6725,7,7,10,10,10,10
12,423,211.5,105.75,321.48,160.74,80.37,7,7,10,10,10,10
13,458,229,114.5,348.27,174.135,87.0675,7,7,10,10,10,10
14,494,247,123.5,375.06,187.53,93.765,7,7,10,10,10,10
15,529,264.5,132.25,401.85,200.925,100.4625,7,7,10,10,10,10
16,564,282,141,428.64,214.32,107.16,7,7,10,10,10,10
17,599,299.5,149.75,455.43,227.715,113.8575,7,7,10,10,10,10
18,635,317.5,158.75,482.22,241.11,120.555,7,7,10,10,10,10
19,670,335,167.5,509.01,254.505,127.2525,7,7,10,10,10,10
20,705,352.5,176.25,535.8,267.9,133.95,7,7,10,10,10,10
21,740,370,185,562.59,281.295,140.6475,7,7,10,10,10,10
22,776,388,194,589.38,294.69,147.345,7,7,10,10,10,10
23,811,405.5,202.75,616.17,308.085,154.0425,7,7,10,10,10,10
24,846,423,211.5,642.96,321.48,160.74,7,7,10,10,10,10
25,881,440.5,220.25,669.75,334.875,167.4375,7,7,10,10,10,10
26,917,458.5,229.25,696.54,348.27,174.135,7,7,10,10,10,10
27,952,476,238,723.33,361.665,180.8325,7,7,10,10,10,10
28,987,493.5,246.75,750.12,375.06,187.53,7,7,10,10,10,10
29,1022,511,255.5,776.91,388.455,194.2275,7,7,10,10,10,10
30,1058,529,264.5,803.7,401.85,200.925,7,7,10,10,10,10
31,1093,546.5,273.25,830.49,415.245,207.6225,7,7,10,10,10,10
32,1128,564,282,857.28,428.64,214.32,7,7,10,10,10,10
33,1163,581.5,290.75,884.07,442.035,221.0175,7,7,10,10,10,10
34,1199,599.5,299.75,910.86,455.43,227.715,7,7,10,10,10,10
35,1234,617,308.5,937.65,468.825,234.4125,7,7,10,10,10,10
36,1269,634.5,317.25,964.44,482.22,241.11,7,7,10,10,10,10
37,1304,652,326,991.23,495.615,247.8075,7,7,10,10,10,10
38,1340,670,335,1018.02,509.01,254.505,7,7,10,10,10,10
39,1375,687.5,343.75,1044.81,522.405,261.2025,7,7,10,10,10,10
40,1410,705,352.5,1071.6,535.8,267.9,7,7,10,10,10,10
41,1445,722.5,361.25,1098.39,549.195,274.5975,7,7,10,10,10,10
42,1481,740.5,370.25,1125.18,562.59,281.295,7,7,10,10,10,10
43,1516,758,379,1151.97,575.985,287.9925,7,7,10,10,10,10
44,1551,775.5,387.75,1178.76,589.38,294.69,7,7,10,10,10,10
45,1586,793,396.5,1205.55,602.775,301.3875,7,7,10,10,10,10
46,1622,811,405.5,1232.34,616.17,308.085,7,7,10,10,10,10
47,1657,828.5,414.25,1259.13,629.565,314.7825,7,7,10,10,10,10
48,1692,846,423,1285.92,642.96,321.48,7,7,10,10,10,10
49,1727,863.5,431.75,1312.71,656.355,328.1775,7,7,10,10,10,10
50,1763,881.5,440.75,1339.5,669.75,334.875,7,7,10,10,10,10
51,1798,899,449.5,1366.29,683.145,341.5725,7,7,10,10,10,10
52,1833,916.5,458.25,1393.08,696.54,348.27,7,7,10,10,10,10
53,1868,934,467,1419.87,709.935,354.9675,7,7,10,10,10,10
54,1904,952,476,1446.66,723.33,361.665,7,7,10,10,10,10
55,1939,969.5,484.75,1473.45,736.725,368.3625,7,7,10,10,10,10
56,1974,987,493.5,1500.24,750.12,375.06,7,7,10,10,10,10
57,2009,1004.5,502.25,1527.03,763.515,381.7575,7,7,10,10,10,10
