Vessel,Expedition_Leg,Science program,Start date,Start port city,Start port country,End date,End port city,End port country,Total (days),In port (days),In transit (days),On site (days),Off site (days),"Coring, drilling, tripping (days)",Logging & downhole tools (days),"Reentry, casing, cementing (days)",Remedial action (days),"Engineering, completion, CORK (days)","Lost time [weather, repairs] (days)",Other (days),Sites,Holes,Cores,Distance traveled (nmi),Average transit speed (kn),Total penetration (m),Interval drilled (m),Interval cored (m),Core recovered (m),Recovery (%),Maximum water depth (m),Minimum water depth (m),Seafloor camera deployments,Reentries,Staff Scientist*,Operations Superintendent*,Lab Officer,Curator*,Co-chiefs
GLOMAR CHALLENGER,1,Acceptance Trials & Salt Domes,11-Aug-68,Orange,USA,23-Sep-68,Hoboken,USA,42,,12,30,,,,,,,,,7,10,56,,,437.6,10.6,427,195.7,,5360,2822,,,,James Dean,David Worth,,Maurice Ewing & J. Lamar Worzel
GLOMAR CHALLENGER,2,North Atlantic Ocean Seafloor Spreading,23-Sep-68,Hoboken,USA,25-Nov-68,Dakar,Senegal,55,,,32,,,,,,,,,5,10,82,4800,,2483.1,902.3,1580.8,215.7,35,,,,,,Dan Bullard,Michael Lehman,,N. Terence Edgar & Melvin Peterson
GLOMAR CHALLENGER,3,Equatorial and South Atlantic Seafloor Spreading,25-Nov-68,Dakar,Senegal,24-Jan-69,Rio de Janeiro,Brazil,55,,23.94,30.77,,27.21,0.75,,,,1.07,1.3,10,19,105,6163,,2249.3,1417.8,831.5,752.11,,,,,,,James Dean,Michael Lehman,,Arthur Maxwell & Richard von Herzen
GLOMAR CHALLENGER,4,Atlantic and Caribbean Continental Margins and Seafloor Spreading,24-Jan-69,Rio de Janeiro,Brazil,24-Mar-69,Balboa,Panama,57,,,,,,,,,,,,9,15,102,,,1635.5,735.6,899.9,385.7,,,,,,,Dan Bullard,Robert Iuliucci,,Richard Bader & Robert Gerard
GLOMAR CHALLENGER,5,Northeast Pacific Fracture Zones and Magnetic Anomalies,24-Mar-69,San Diego,USA,5-Jun-69,Honolulu,USA,54.13,,17.57,35,,,,,,,,,12,14,,4258,,,,,,,,,,,,William Allinder,Michael Lehman,,Robert Burns & Dean McManus
GLOMAR CHALLENGER,6,Northwest Pacific Crustal Accretion,5-Jun-69,Honolulu,USA,5-Aug-69,Apra Harbor,Guam,60.02,6.23,23.04,30.75,,25.92,1.4375,,0.125,,0.145833333,3.125,17,36,128,5509,10,3160,,953,689,72.2,,,,,,Dan Bullard,Robert Iuliucci,,Alfred Fischer & Bruce Heezen
GLOMAR CHALLENGER,7,Western Equatorial Pacific Crustal Age,5-Aug-69,Apra Harbor,Guam,2-Oct-69,Honolulu,USA,56,,,,,,,,,,,,7,15,,5934,,4436,,1174,948,80.7,,,,,,Valdemar Larson,Michael Lehman,,William Riedel & Edward Winterer
GLOMAR CHALLENGER,8,East Central Equatorial Pacific Ocean Current System,2-Oct-69,Honolulu,USA,2-Dec-69,Papeete,Tahiti,56,,,,,,,,,,,,8,17,183,4616,,3463,,1470,1225,83.3,,,,,,William Allinder,Robert Iuliucci,,George Sutton & Joshua Tracey Jr.
GLOMAR CHALLENGER,9,East Pacific Rise Seafloor Spreading,2-Dec-69,Papeete,Tahiti,27-Jan-70,Balboa,Panama,56.24,4.36,24.55,25.9,,22.94,,,,,,2.96,9,17,202,5669,9.36,3579,,1693,1539,90.9,,,,,,James Dawson,Michael Lehman,,James Hays
GLOMAR CHALLENGER,10,Gulf of Mexico Sedimentary Transitions,13-Feb-70,Galveston,USA,5-Apr-70,Miami,USA,52,,,,,,,,,,,,13,14,,,,,,1154.25,736.01,,,,,,,William Allinder,Ted Gustafson,,William Bryant & J. Lamar Worzel
