"Leg","Site","Hole","sitehole","short_name","long_name","ngdc_link"
301,1301,"B","1301B","icp","Elemental Composition - ICP","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301b/icp_301_1301b.txt"
301,1301,"B","1301B","mad","Moisture & Density","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301b/mad_301_1301b.txt"
301,1301,"B","1301B","msl","Magnetic Susceptibilty - Detailed","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301b/msl_301_1301b.txt"
301,1301,"B","1301B","pmag","Magnetic Remanence","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301b/pmag_301_1301b.txt"
301,1301,"B","1301B","pws3","P-wave Velocity, Discrete3","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301b/pws3_301_1301b.txt"
301,1301,"B","1301B","rgb","RGB Channels","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301b/rgb_301_1301b.txt"
301,1301,"B","1301B","structural_visual_core_descriptions/","Visual Core Descriptions - Structural","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301b/structural_visual_core_descriptions/"
301,1301,"B","1301B","tcon","Thermal Conductivity","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301b/tcon_301_1301b.txt"
301,1301,"B","1301B","xrd","X-ray Diffraction - Summary","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301b/xrd_301_1301b.txt"
301,1301,"B","1301B","xrd_data_files","X-ray Diffraction - Data","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301b/xrd_301_1301b_files/"
301,1301,"C","1301C","carb","CHNS and Carbonate","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301c/carb_301_1301c.txt"
301,1301,"C","1301C","gas","Gas Elements","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301c/gas_301_1301c.txt"
301,1301,"C","1301C","gra","Gamma Ray Attenuation Bulk Density","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301c/gra_301_1301c.txt"
301,1301,"C","1301C","iw","Interstitial Water","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301c/iw_301_1301c.txt"
301,1301,"C","1301C","mad","Moisture & Density","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301c/mad_301_1301c.txt"
301,1301,"C","1301C","ms2f","Magnetic Susceptibilty - Summary1","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301c/ms2f_301_1301c.txt"
301,1301,"C","1301C","msl","Magnetic Susceptibilty - Detailed","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301c/msl_301_1301c.txt"
301,1301,"C","1301C","ngr","Natural Gamma Radiation","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301c/ngr_301_1301c.txt"
301,1301,"C","1301C","pen","Compressional Strength (Penetrometer)","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301c/pen_301_1301c.txt"
301,1301,"C","1301C","pmag","Magnetic Remanence","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301c/pmag_301_1301c.txt"
301,1301,"C","1301C","pwl","P-wave Velocity Logger","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301c/pwl_301_1301c.txt"
301,1301,"C","1301C","pws1","P-wave Velocity, Discrete1","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301c/pws1_301_1301c.txt"
301,1301,"C","1301C","pws2","P-wave Velocity, Discrete2","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301c/pws2_301_1301c.txt"
301,1301,"C","1301C","pws3","P-wave Velocity, Discrete3","https://www.ngdc.noaa.gov/mgg/geology/data/joides_resolution/301/1301c/pws3_301_1301c.txt"
