leg_exp,site,hole_summ,hole_drilling_sum,core_summ,core_drilling_sum,sect_summ,rig_instrumentation,VIT,samples,piece_log,VCD,micropal,core_comp_photo,core_sect_img,WR_sect_img,WR_360_img,core_closeup_img,ts_img,photomicrograph,SEM,SRMS,SRMD,JR6A,ORIENT,MS,MSP,KAPPA,GRA,MAD,NGR,PWL,PWC,PWB,RSC,LHP,RGB,AVS,TOR,PEN,DH_temp,TCON,IW_comp,alk_pH,salinity,IC,titrator,spectrophotometry,ICP_IW,ICP_solids,CARB,coulometer,CHNS,SRA,GE,PFT,XRD,PXRF,XRF,strat_corr,logging,navigation,bathymetry,towed_mag
350,U1436,https://zenodo.org/record/7502411,https://zenodo.org/record/7502409,https://zenodo.org/record/7502380,https://zenodo.org/record/7502392,https://zenodo.org/record/7502427,not published,not published,https://zenodo.org/record/7502421,no data available,https://zenodo.org/record/7502388,https://zenodo.org/record/7502384,https://zenodo.org/record/7850036,https://zenodo.org/record/7850034,no data available,no data available,https://zenodo.org/record/7850037,https://zenodo.org/record/7850035,https://zenodo.org/record/7850033,https://zenodo.org/record/7502273,https://zenodo.org/record/7502524,no data available,no data available,https://zenodo.org/record/7502215,https://zenodo.org/record/7502152,https://zenodo.org/record/7502154,no data available,https://zenodo.org/record/7502133,https://zenodo.org/record/7502413,https://zenodo.org/record/7502158,https://zenodo.org/record/7502229,https://zenodo.org/record/7502223,https://zenodo.org/record/7502219,https://zenodo.org/record/7502271,https://zenodo.org/record/7502217,https://zenodo.org/record/7502261,https://zenodo.org/record/7502037,no data available,no data available,no data available,https://zenodo.org/record/7502444,https://zenodo.org/record/7502431,https://zenodo.org/record/7502011,https://zenodo.org/record/7502415,https://zenodo.org/record/7502142,https://zenodo.org/record/7502446,https://zenodo.org/record/7502279,https://zenodo.org/record/7502137,https://zenodo.org/record/7502140,no data available,no data available,no data available,no data available,https://zenodo.org/record/7502396,no data available,no data available,not published,no data available,no data available,no data available,not published,not published,not published
350,U1437,https://zenodo.org/record/7502411,https://zenodo.org/record/7502409,https://zenodo.org/record/7502380,https://zenodo.org/record/7502392,https://zenodo.org/record/7502427,not published,not published,https://zenodo.org/record/7502421,no data available,https://zenodo.org/record/7502388,https://zenodo.org/record/7502384,https://zenodo.org/record/7850036,https://zenodo.org/record/7850034,no data available,no data available,https://zenodo.org/record/7850037,https://zenodo.org/record/7850035,https://zenodo.org/record/7850033,https://zenodo.org/record/7502273,https://zenodo.org/record/7502524,https://zenodo.org/record/7502281,no data available,https://zenodo.org/record/7502215,https://zenodo.org/record/7502152,https://zenodo.org/record/7502154,no data available,https://zenodo.org/record/7502133,https://zenodo.org/record/7502413,https://zenodo.org/record/7502158,https://zenodo.org/record/7502229,https://zenodo.org/record/7502223,https://zenodo.org/record/7502219,https://zenodo.org/record/7502271,https://zenodo.org/record/7502217,https://zenodo.org/record/7502261,https://zenodo.org/record/7502037,no data available,no data available,https://zenodo.org/record/7502131,https://zenodo.org/record/7502444,https://zenodo.org/record/7502431,https://zenodo.org/record/7502011,https://zenodo.org/record/7502415,https://zenodo.org/record/7502142,https://zenodo.org/record/7502446,https://zenodo.org/record/7502279,https://zenodo.org/record/7502137,https://zenodo.org/record/7502140,https://zenodo.org/record/7502378,https://zenodo.org/record/7502382,https://zenodo.org/record/7502039,no data available,https://zenodo.org/record/7502396,no data available,no data available,not published,no data available,no data available,https://zenodo.org/record/5669066,not published,not published,not published
351,U1438A,https://zenodo.org/record/7071927,https://zenodo.org/record/7072742,https://zenodo.org/record/7072459,https://zenodo.org/record/7072476,https://zenodo.org/record/7072584,not published,not published,https://zenodo.org/record/7072586,no data available,https://zenodo.org/record/7072748,https://zenodo.org/record/7072746,https://zenodo.org/record/7850108,https://zenodo.org/record/7850090,no data available,no data available,no data available,no data available,https://zenodo.org/record/7850087,no data available,https://zenodo.org/record/7502614,no data available,no data available,no data available,https://zenodo.org/record/7072750,https://zenodo.org/record/7072753,no data available,https://zenodo.org/record/7072480,no data available,https://zenodo.org/record/7072767,https://zenodo.org/record/7072696,no data available,no data available,https://zenodo.org/record/7072594,https://zenodo.org/record/7072722,https://zenodo.org/record/7072590,no data available,no data available,no data available,no data available,https://zenodo.org/record/7072668,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,https://zenodo.org/record/7072406,https://zenodo.org/record/7072474,https://zenodo.org/record/7072411,no data available,https://zenodo.org/record/7072771,no data available,no data available,no data available,no data available,no data available,no data available,not published,not published,not published
351,U1438B,https://zenodo.org/record/7071927,https://zenodo.org/record/7072742,https://zenodo.org/record/7072459,https://zenodo.org/record/7072476,https://zenodo.org/record/7072584,not published,not published,https://zenodo.org/record/7072586,no data available,https://zenodo.org/record/7072748,https://zenodo.org/record/7072746,https://zenodo.org/record/7850108,https://zenodo.org/record/7850090,no data available,no data available,https://zenodo.org/record/7850118,no data available,https://zenodo.org/record/7850087,https://zenodo.org/record/7094044,https://zenodo.org/record/7502614,no data available,no data available,https://zenodo.org/record/7072582,https://zenodo.org/record/7072750,https://zenodo.org/record/7072753,no data available,https://zenodo.org/record/7072480,https://zenodo.org/record/7072580,https://zenodo.org/record/7072767,https://zenodo.org/record/7072696,https://zenodo.org/record/7072680,https://zenodo.org/record/7072664,https://zenodo.org/record/7072594,https://zenodo.org/record/7072722,https://zenodo.org/record/7072590,https://zenodo.org/record/7072339,no data available,no data available,https://zenodo.org/record/7072744,https://zenodo.org/record/7072668,https://zenodo.org/record/7072765,https://zenodo.org/record/7072330,https://zenodo.org/record/7072588,https://zenodo.org/record/7072487,https://zenodo.org/record/7072678,https://zenodo.org/record/7072738,https://zenodo.org/record/7072489,https://zenodo.org/record/7072700,https://zenodo.org/record/7072406,https://zenodo.org/record/7072474,https://zenodo.org/record/7072411,no data available,https://zenodo.org/record/7072771,no data available,https://zenodo.org/record/7072717,no data available,no data available,no data available,no data available,not published,not published,not published
351,U1438C,https://zenodo.org/record/7071927,https://zenodo.org/record/7072742,https://zenodo.org/record/7072459,https://zenodo.org/record/7072476,no data available,not published,not published,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,not published,not published,not published
351,U1438D,https://zenodo.org/record/7071927,https://zenodo.org/record/7072742,https://zenodo.org/record/7072459,https://zenodo.org/record/7072476,https://zenodo.org/record/7072584,not published,not published,https://zenodo.org/record/7072586,no data available,https://zenodo.org/record/7072748,https://zenodo.org/record/7072746,https://zenodo.org/record/7850108,https://zenodo.org/record/7850090,no data available,no data available,https://zenodo.org/record/7850118,https://zenodo.org/record/7850091,https://zenodo.org/record/7850087,https://zenodo.org/record/7094044,https://zenodo.org/record/7502614,no data available,no data available,no data available,https://zenodo.org/record/7072750,https://zenodo.org/record/7072753,no data available,https://zenodo.org/record/7072480,https://zenodo.org/record/7072580,https://zenodo.org/record/7072767,no data available,https://zenodo.org/record/7072680,no data available,https://zenodo.org/record/7072594,https://zenodo.org/record/7072722,https://zenodo.org/record/7072590,no data available,no data available,no data available,no data available,https://zenodo.org/record/7072668,https://zenodo.org/record/7072765,https://zenodo.org/record/7072330,https://zenodo.org/record/7072588,https://zenodo.org/record/7072487,https://zenodo.org/record/7072678,https://zenodo.org/record/7072738,https://zenodo.org/record/7072489,https://zenodo.org/record/7072700,https://zenodo.org/record/7072406,https://zenodo.org/record/7072474,https://zenodo.org/record/7072411,no data available,https://zenodo.org/record/7072771,no data available,https://zenodo.org/record/7072717,no data available,no data available,no data available,https://zenodo.org/record/5669133,not published,not published,not published
351,U1438E,https://zenodo.org/record/7071927,https://zenodo.org/record/7072742,https://zenodo.org/record/7072459,https://zenodo.org/record/7072476,https://zenodo.org/record/7072584,not published,not published,https://zenodo.org/record/7072586,https://zenodo.org/record/7072670,https://zenodo.org/record/7072748,https://zenodo.org/record/7072746,https://zenodo.org/record/7850108,https://zenodo.org/record/7850090,https://zenodo.org/record/7850099,https://zenodo.org/record/7850096,https://zenodo.org/record/7850118,https://zenodo.org/record/7850091,https://zenodo.org/record/7850087,https://zenodo.org/record/7094044,https://zenodo.org/record/7502614,no data available,no data available,no data available,https://zenodo.org/record/7072750,https://zenodo.org/record/7072753,no data available,https://zenodo.org/record/7072480,https://zenodo.org/record/7072580,https://zenodo.org/record/7072767,no data available,https://zenodo.org/record/7072680,no data available,https://zenodo.org/record/7072594,https://zenodo.org/record/7072722,https://zenodo.org/record/7072590,no data available,no data available,no data available,no data available,https://zenodo.org/record/7072668,https://zenodo.org/record/7072765,https://zenodo.org/record/7072330,https://zenodo.org/record/7072588,https://zenodo.org/record/7072487,https://zenodo.org/record/7072678,no data available,https://zenodo.org/record/7072489,https://zenodo.org/record/7072700,https://zenodo.org/record/7072406,https://zenodo.org/record/7072474,https://zenodo.org/record/7072411,no data available,https://zenodo.org/record/7072771,no data available,https://zenodo.org/record/7072717,no data available,no data available,no data available,https://zenodo.org/record/5669148,not published,not published,not published
351,U1438F,https://zenodo.org/record/7071927,https://zenodo.org/record/7072742,https://zenodo.org/record/7072459,https://zenodo.org/record/7072476,no data available,not published,not published,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,https://zenodo.org/record/5669176,not published,not published,not published
352,U1439,https://zenodo.org/record/7017756,https://zenodo.org/record/7055140,https://zenodo.org/record/7020250,https://zenodo.org/record/7020331,https://zenodo.org/record/7055142,not published,not published,https://zenodo.org/record/7055221,https://zenodo.org/record/7055196,https://zenodo.org/record/7020262,https://zenodo.org/record/7020255,https://zenodo.org/record/7850143,https://zenodo.org/record/7850140,https://zenodo.org/record/7850142,https://zenodo.org/record/7055271,https://zenodo.org/record/7850132,https://zenodo.org/record/7850141,https://zenodo.org/record/7850135,https://zenodo.org/record/7055305,https://zenodo.org/record/7502606,https://zenodo.org/record/7502602,no data available,https://zenodo.org/record/7055166,https://zenodo.org/record/7055446,https://zenodo.org/record/7055451,no data available,https://zenodo.org/record/7020333,https://zenodo.org/record/7055340,https://zenodo.org/record/7055188,https://zenodo.org/record/7055146,https://zenodo.org/record/7055148,no data available,https://zenodo.org/record/7055157,https://zenodo.org/record/7055199,https://zenodo.org/record/7055153,no data available,no data available,no data available,https://zenodo.org/record/7020270,https://zenodo.org/record/7055161,https://zenodo.org/record/7055180,https://zenodo.org/record/7020052,https://zenodo.org/record/7055215,https://zenodo.org/record/7055178,https://zenodo.org/record/7055159,https://zenodo.org/record/7055245,no data available,https://zenodo.org/record/7055176,https://zenodo.org/record/7020122,https://zenodo.org/record/7020253,https://zenodo.org/record/7020124,no data available,https://zenodo.org/record/7055168,no data available,https://zenodo.org/record/7055265,https://zenodo.org/record/7055475,no data available,no data available,https://zenodo.org/record/5668995,not published,not published,not published
352,U1440,https://zenodo.org/record/7017756,https://zenodo.org/record/7055140,https://zenodo.org/record/7020250,https://zenodo.org/record/7020331,https://zenodo.org/record/7055142,not published,not published,https://zenodo.org/record/7055221,https://zenodo.org/record/7055196,https://zenodo.org/record/7020262,https://zenodo.org/record/7020255,https://zenodo.org/record/7850143,https://zenodo.org/record/7850140,https://zenodo.org/record/7850142,https://zenodo.org/record/7055271,https://zenodo.org/record/7850132,https://zenodo.org/record/7850141,https://zenodo.org/record/7850135,https://zenodo.org/record/7055305,https://zenodo.org/record/7502606,https://zenodo.org/record/7502602,no data available,https://zenodo.org/record/7055166,https://zenodo.org/record/7055446,https://zenodo.org/record/7055451,no data available,https://zenodo.org/record/7020333,https://zenodo.org/record/7055340,https://zenodo.org/record/7055188,https://zenodo.org/record/7055146,no data available,no data available,https://zenodo.org/record/7055157,https://zenodo.org/record/7055199,https://zenodo.org/record/7055153,no data available,no data available,no data available,https://zenodo.org/record/7020270,https://zenodo.org/record/7055161,https://zenodo.org/record/7055180,https://zenodo.org/record/7020052,https://zenodo.org/record/7055215,https://zenodo.org/record/7055178,https://zenodo.org/record/7055159,https://zenodo.org/record/7055245,no data available,https://zenodo.org/record/7055176,https://zenodo.org/record/7020122,https://zenodo.org/record/7020253,https://zenodo.org/record/7020124,no data available,https://zenodo.org/record/7055168,no data available,https://zenodo.org/record/7055265,https://zenodo.org/record/7055475,no data available,no data available,https://zenodo.org/record/3939668,not published,not published,not published
