leg_exp,site,samples,core_comp_photo,core_closeup_img
1,1,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=1&site=1,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=1&site=1,not available
1,2,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=1&site=2,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=1&site=2,not available
1,3,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=1&site=3,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=1&site=3,not available
1,4,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=1&site=4,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=1&site=4,not available
1,5,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=1&site=5,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=1&site=5,not available
1,6,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=1&site=6,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=1&site=6,not available
1,7,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=1&site=7,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=1&site=7,not available
10,85,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=10&site=85,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=10&site=85,not available
10,86,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=10&site=86,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=10&site=86,not available
10,87,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=10&site=87,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=10&site=87,not available
10,88,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=10&site=88,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=10&site=88,not available
10,89,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=10&site=89,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=10&site=89,not available
10,90,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=10&site=90,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=10&site=90,not available
10,91,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=10&site=91,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=10&site=91,not available
10,92,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=10&site=92,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=10&site=92,not available
10,93,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=10&site=93,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=10&site=93,not available
10,94,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=10&site=94,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=10&site=94,not available
10,95,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=10&site=95,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=10&site=95,not available
10,96,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=10&site=96,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=10&site=96,not available
10,97,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=10&site=97,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=10&site=97,not available
11,100,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=11&site=100,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=11&site=100,not available
11,101,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=11&site=101,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=11&site=101,not available
11,102,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=11&site=102,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=11&site=102,not available
11,103,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=11&site=103,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=11&site=103,not available
11,104,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=11&site=104,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=11&site=104,not available
11,105,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=11&site=105,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=11&site=105,not available
11,106,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=11&site=106,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=11&site=106,not available
11,107,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=11&site=107,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=11&site=107,not available
11,108,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=11&site=108,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=11&site=108,not available
11,98,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=11&site=98,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=11&site=98,not available
11,99,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=11&site=99,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=11&site=99,not available
12,111,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=12&site=111,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=12&site=111,not available
12,112,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=12&site=112,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=12&site=112,not available
12,113,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=12&site=113,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=12&site=113,not available
12,114,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=12&site=114,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=12&site=114,not available
12,115,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=12&site=115,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=12&site=115,not available
12,116,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=12&site=116,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=12&site=116,not available
12,117,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=12&site=117,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=12&site=117,not available
12,118,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=12&site=118,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=12&site=118,not available
12,119,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=12&site=119,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=12&site=119,not available
13,120,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=13&site=120,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=13&site=120,not available
13,121,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=13&site=121,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=13&site=121,not available
13,122,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=13&site=122,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=13&site=122,not available
13,123,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=13&site=123,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=13&site=123,not available
13,124,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=13&site=124,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=13&site=124,not available
13,125,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=13&site=125,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=13&site=125,not available
13,126,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=13&site=126,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=13&site=126,not available
13,127,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=13&site=127,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=13&site=127,not available
13,128,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=13&site=128,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=13&site=128,not available
13,129,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=13&site=129,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=13&site=129,not available
13,130,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=13&site=130,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=13&site=130,not available
13,131,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=13&site=131,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=13&site=131,not available
13,132,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=13&site=132,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=13&site=132,not available
13,133,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=13&site=133,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=13&site=133,not available
13,134,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=13&site=134,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=13&site=134,not available
14,135,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=14&site=135,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=14&site=135,not available
14,136,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=14&site=136,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=14&site=136,not available
14,137,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=14&site=137,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=14&site=137,not available
14,138,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=14&site=138,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=14&site=138,not available
14,139,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=14&site=139,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=14&site=139,not available
14,140,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=14&site=140,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=14&site=140,not available
14,141,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=14&site=141,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=14&site=141,not available
14,142,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=14&site=142,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=14&site=142,not available
14,143,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=14&site=143,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=14&site=143,not available
14,144,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=14&site=144,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=14&site=144,not available
15,146,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=15&site=146,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=15&site=146,not available
15,147,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=15&site=147,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=15&site=147,not available
15,148,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=15&site=148,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=15&site=148,not available
15,149,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=15&site=149,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=15&site=149,not available
15,150,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=15&site=150,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=15&site=150,not available
15,151,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=15&site=151,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=15&site=151,not available
15,152,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=15&site=152,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=15&site=152,not available
15,153,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=15&site=153,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=15&site=153,not available
15,154,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=15&site=154,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=15&site=154,not available
16,155,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=16&site=155,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=16&site=155,not available
16,156,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=16&site=156,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=16&site=156,not available
16,157,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=16&site=157,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=16&site=157,not available
16,158,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=16&site=158,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=16&site=158,not available
16,159,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=16&site=159,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=16&site=159,not available
16,160,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=16&site=160,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=16&site=160,not available
16,161,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=16&site=161,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=16&site=161,not available
16,162,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=16&site=162,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=16&site=162,not available
16,163,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=16&site=163,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=16&site=163,not available
17,164,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=17&site=164,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=17&site=164,not available
17,165,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=17&site=165,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=17&site=165,not available
17,166,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=17&site=166,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=17&site=166,not available
