leg_exp,site,samples,core_comp_photo,core_closeup_img,ts_img
301,1301,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=301&site=1301,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=301&site=1301,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=301&site=1301,no data available
303,1302,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=303&site=1302,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=303&site=1302,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=303&site=1302,no data available
303,1303,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=303&site=1303,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=303&site=1303,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=303&site=1303,no data available
303,1304,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=303&site=1304,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=303&site=1304,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=303&site=1304,no data available
303,1305,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=303&site=1305,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=303&site=1305,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=303&site=1305,no data available
303,1306,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=303&site=1306,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=303&site=1306,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=303&site=1306,no data available
303,1307,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=303&site=1307,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=303&site=1307,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=303&site=1307,no data available
303,1308,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=303&site=1308,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=303&site=1308,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=303&site=1308,no data available
304,1309,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=304&site=1309,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=304&site=1309,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=304&site=1309,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=304&site=1309
304,1310,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=304&site=1310,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=304&site=1310,no data available,https://web.iodp.tamu.edu/janusweb/imaging/tsmicro.cgi?leg=304&site=1310
