leg_exp,site,samples,core_comp_photo,core_closeup_img,ts_img
100,625,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=100&site=625,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=100&site=625,no data available,no data available
101,626,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=101&site=626,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=101&site=626,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=101&site=626,no data available
101,627,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=101&site=627,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=101&site=627,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=101&site=627,no data available
101,628,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=101&site=628,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=101&site=628,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=101&site=628,no data available
101,629,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=101&site=629,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=101&site=629,no data available,no data available
101,630,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=101&site=630,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=101&site=630,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=101&site=630,no data available
101,631,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=101&site=631,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=101&site=631,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=101&site=631,no data available
101,632,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=101&site=632,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=101&site=632,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=101&site=632,no data available
101,633,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=101&site=633,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=101&site=633,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=101&site=633,no data available
101,634,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=101&site=634,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=101&site=634,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=101&site=634,no data available
101,635,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=101&site=635,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=101&site=635,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=101&site=635,no data available
101,636,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=101&site=636,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=101&site=636,no data available,no data available
103,637,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=103&site=637,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=103&site=637,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=103&site=637,no data available
103,638,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=103&site=638,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=103&site=638,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=103&site=638,no data available
103,639,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=103&site=639,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=103&site=639,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=103&site=639,no data available
103,640,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=103&site=640,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=103&site=640,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=103&site=640,no data available
103,641,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=103&site=641,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=103&site=641,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=103&site=641,no data available
