Leg,Site,Hole,Latitude,Longitude,Latitude (decimal degrees),Longitude (decimal degrees),Water Depth (mbsl),Number of Cores,Interval Cored (m),Core Recovered (m),% Recovered,Drilled (m),Penetration (m),Comment
100,625,A,28° 49.900'N,87°  9.600'W,28.8316667,-87.16,889,1,2.8,2.8,100,0,234.9,
100,625,B,28° 49.900'N,87°  9.600'W,28.8316667,-87.16,889,27,235.2,222.2,94.5,0,235.2,
100,625,C,28° 49.900'N,87°  9.600'W,28.8316667,-87.16,889,4,39.5,39.4,99.6,0,44.5,
101,626,A,25° 36.001'N,79° 32.806'W,25.6000167,-79.5467667,846.8,2,12.8,5,39.1,0,12.8,
101,626,B,25° 36.037'N,79° 32.806'W,25.6006167,-79.5467667,860,2,19.2,7,36.3,0,185.5,
101,626,C,25° 36.019'N,79° 32.800'W,25.6003167,-79.5466667,855,19,179.3,66.8,37.3,0,179.3,
101,626,D,25° 36.019'N,79° 32.806'W,25.6003167,-79.5467667,854,28,267.4,9.7,3.6,0,446.8,
101,627,A,27° 38.100'N,78° 17.652'W,27.635,-78.2942,1026,1,8.8,9.5,107.6,0,8.8,
101,627,B,27° 38.100'N,78° 17.652'W,27.635,-78.2942,1036,60,535.8,351,65.5,0,535.8,
101,628,A,27° 31.848'N,78° 18.948'W,27.5308,-78.3158,974,32,298.4,217.5,72.9,0,298.4,
101,629,A,27° 24.390'N,78° 22.098'W,27.4065,-78.3683,563,3,27.1,6.2,23,0,27.1,
101,630,A,27° 26.940'N,78° 20.430'W,27.449,-78.3405,815,26,250.3,220.6,88.2,0,250.3,
101,630,B,27° 26.940'N,78° 20.430'W,27.449,-78.3405,815,9,79.9,79.7,99.7,0,80.4,
101,630,C,27° 26.940'N,78° 20.430'W,27.449,-78.3405,815,1,9.3,9.3,100.1,0,9.3,
101,631,A,23° 35.202'N,75° 44.562'W,23.5867,-75.7427,1102,25,244.3,161.2,66,0,244.3,
101,632,A,23° 50.442'N,75° 26.130'W,23.8407,-75.4355,2007,16,141,83.4,59.2,0,141,
101,632,B,23° 50.442'N,75° 26.130'W,23.8407,-75.4355,2007,17,162.7,35,21.5,0,283.3,
101,633,A,23° 41.310'N,75° 37.410'W,23.6885,-75.6235,1690,24,228.3,111.3,48.8,0,227.3,
101,634,A,25° 23.022'N,77° 18.882'W,25.3837,-77.3147,2864,32,322.5,27.9,8.6,0,479.4,
101,635,A,25° 25.128'N,77° 19.920'W,25.4188,-77.332,3445,3,20.1,6.4,31.8,0,20.1,
101,635,B,25° 25.182'N,77° 19.980'W,25.4197,-77.333,3483,14,117.7,31.3,26.6,0,117.7,
101,636,A,25° 25.110'N,77° 18.348'W,25.4185,-77.3058,3581,1,3,0.1,2.3,0,21,
103,637,A,42°  5.298'N,12° 51.798'W,42.0883,-12.8633,5311,30,285.6,116.3,40.7,0,285.6,
103,638,A,42°  9.198'N,12° 11.802'W,42.1533,-12.1967,4673,1,44.6,0,0,0,44.6,
103,638,B,42°  9.198'N,12° 11.802'W,42.1533,-12.1967,4673,45,431.1,212.9,49.4,0,431.1,
103,638,C,42°  9.198'N,12° 11.802'W,42.1533,-12.1967,4673,14,135.2,37.7,27.9,0,547.2,
103,639,A,42°  8.598'N,12° 14.898'W,42.1433,-12.2483,4735,10,89.8,35.7,39.8,0,89.8,
103,639,B,42°  8.598'N,12° 15.000'W,42.1433,-12.25,4758,4,26.2,12.7,48.4,0,80,
103,639,C,42°  8.598'N,12° 15.102'W,42.1433,-12.2517,4792,2,22.4,4.8,21.6,0,100.4,
103,639,D,42°  8.598'N,12° 15.300'W,42.1433,-12.255,4753,12,113.5,24.5,21.6,0,293.1,
103,639,E,42°  8.598'N,12° 15.402'W,42.1433,-12.2567,4770,4,38.5,2,5.1,0,237.9,
103,639,F,42°  8.598'N,12° 15.498'W,42.1433,-12.2583,4771,2,13,0.9,6.8,0,250.8,
103,640,A,42°  1.002'N,12° 27.798'W,42.0167,-12.4633,5201,9,86.8,15.7,18.1,0,232.2,
103,641,A,42°  9.300'N,12° 10.902'W,42.155,-12.1817,4646,7,63.6,40.4,63.5,0,63.6,
103,641,B,42°  9.300'N,12° 10.902'W,42.155,-12.1817,4649,0,0,0,,35,35,
103,641,C,42°  9.300'N,12° 10.902'W,42.155,-12.1817,4650,16,154.2,112.5,72.9,0,305.2,
104,642,A,67° 13.500'N,2° 55.698'E,67.225,2.9283,1281.6,1,9.5,9.9,104.2,0,10.8,
104,642,B,67° 13.500'N,2° 55.698'E,67.225,2.9283,1281.6,25,221.1,214.6,97.1,0,221.1,
104,642,C,67° 13.200'N,2° 55.800'E,67.22,2.93,1281.4,24,199.6,194.9,97.7,0,199.6,
104,642,D,67° 13.200'N,2° 55.800'E,67.22,2.93,1281.4,19,140,114.6,81.8,0,329.9,
104,642,E,67° 13.200'N,2° 55.800'E,67.22,2.93,1278.3,108,906.9,372.7,41.1,0,1229.4,
104,643,A,67° 42.900'N,1°  1.998'E,67.715,1.0333,2768.7,62,565.2,458.3,81.1,0,565.2,
104,644,A,66° 40.698'N,4° 34.602'E,66.6783,4.5767,1225.2,34,252.8,238.7,94.4,0,252.8,
104,644,B,66° 40.698'N,4° 34.602'E,66.6783,4.5767,1224.8,15,127.7,103.5,81,0,127.7,
105,645,A,70° 27.432'N,64° 39.258'W,70.4572,-64.6543,2007.1,1,4.9,4.9,100.8,0,4.9,
105,645,B,70° 27.432'N,64° 39.258'W,70.4572,-64.6543,2008.2,32,298.3,171.7,57.6,0,298.9,
105,645,C,70° 27.432'N,64° 39.258'W,70.4572,-64.6543,2007.7,3,23.3,10.9,46.7,0,23.3,
105,645,D,70° 27.432'N,64° 39.372'W,70.4572,-64.6562,2007.5,20,190.4,106.8,56.1,0,465.8,
105,645,E,70° 27.480'N,64° 39.300'W,70.458,-64.655,2008.3,78,720.9,535.6,74.3,0,1147.1,
105,645,F,70° 27.480'N,64° 39.288'W,70.458,-64.6548,2008.3,3,23,12.3,53.7,0,23,
105,645,G,70° 27.480'N,64° 39.288'W,70.458,-64.6548,2007.5,2,16,8.5,53.1,0,17,
105,646,A,58° 12.558'N,48° 22.146'W,58.2093,-48.3691,3440.3,11,103.5,92.1,89,0,103.5,
105,646,B,58° 12.558'N,48° 22.146'W,58.2093,-48.3691,3440.3,80,766.2,404.2,52.8,0,766.7,
105,647,A,53° 19.878'N,45° 15.720'W,53.3313,-45.262,3868.5,75,716.6,444.6,62,0,736,
105,647,B,53° 19.878'N,45° 15.720'W,53.3313,-45.262,3860.2,11,103.3,93.2,90.2,0,103.3,
106,648,A,22° 55.310'N,44° 56.830'W,22.9218333,-44.9471667,3299.4,1,4.5,0.1,3.1,0,4.5,
106,648,B,22° 55.320'N,44° 56.825'W,22.922,-44.9470833,3333.3,6,40.8,6.8,16.6,0,33.3,
106,649,A,23° 22.139'N,44° 57.043'W,23.3689833,-44.9507167,3516.9,1,7.5,0,0,0,7.5,
106,649,B,23° 22.139'N,44° 57.043'W,23.3689833,-44.9507167,3516.9,1,6.5,6,92.3,0,6.5,
106,649,C,23° 22.139'N,44° 57.043'W,23.3689833,-44.9507167,3518.4,1,3.5,0.2,4.3,0,3.5,
106,649,D,23° 22.139'N,44° 57.043'W,23.3689833,-44.9507167,3517.4,1,6.5,0,0,0,6.5,
106,649,E,23° 22.139'N,44° 57.043'W,23.3689833,-44.9507167,3519.4,1,8.9,0.1,1.3,0,8.9,
106,649,F,23° 22.139'N,44° 57.043'W,23.3689833,-44.9507167,3514.4,1,13,0,0.3,0,13,
106,649,G,23° 22.160'N,44° 57.072'W,23.3693333,-44.9512,3517.7,1,9,0.2,2.8,0,9,
106,649,H,23° 22.160'N,44° 57.072'W,23.3693333,-44.9512,3510.7,1,3,0.2,5,0,3,
106,649,I,23° 22.160'N,44° 57.072'W,23.3693333,-44.9512,3510.7,1,3,0,0,0,3,
106,649,J,23° 22.160'N,44° 57.072'W,23.3693333,-44.9512,3506.7,1,3,0,0,0,3,
107,650,A,39° 21.402'N,13° 54.048'E,39.3567,13.9008,3516.3,69,633.8,311.1,49.1,0,633.8,
107,650,B,39° 21.400'N,13° 54.050'E,39.3566667,13.9008333,3516.3,0,0,0,,0,102.5,
107,651,A,40°  9.030'N,12° 45.390'E,40.1505,12.7565,3578,58,550.9,185.7,33.7,0,550.9,
107,652,A,40° 21.300'N,12°  8.592'E,40.355,12.1432,3446,75,721.1,445.3,61.8,0,721.1,
107,653,A,40° 15.858'N,11° 26.988'E,40.2643,11.4498,2817,26,240.7,211.3,87.8,0,240.7,
107,653,B,40° 15.858'N,11° 26.952'E,40.2643,11.4492,2817,28,264.3,217.6,82.3,0,264.3,
107,654,A,40° 34.758'N,10° 41.802'E,40.5793,10.6967,2208,52,473.8,239.8,50.6,0,473.8,
107,655,A,40° 10.332'N,12° 27.918'E,40.1722,12.4653,3290,12,89.8,77.4,86.2,0,90.4,
107,655,B,40° 11.322'N,12° 27.930'E,40.1887,12.4655,3290,12,114.9,49.3,42.9,0,196.1,
107,656,A,40° 11.062'N,12° 11.030'E,40.1843667,12.1838333,3597,14,133.6,50,37.4,0,236.4,
107,656,B,40° 11.088'N,12° 11.448'E,40.1848,12.1908,3597,7,66.3,56.4,85.1,0,121.8,
108,657,A,21° 19.890'N,20° 56.928'W,21.3315,-20.9488,4232,19,178.2,127.6,71.6,0,178.2,
108,657,B,21° 19.890'N,20° 56.928'W,21.3315,-20.9488,4232,19,166.1,133.5,80.4,0,166.1,
108,658,A,20° 44.952'N,18° 34.848'W,20.7492,-18.5808,2263.5,33,300.4,295,98.2,0,300.4,
108,658,B,20° 44.952'N,18° 34.848'W,20.7492,-18.5808,2264.2,18,163.8,176.1,107.5,0,163.8,
