Leg,Description,Beginning Time,Ending Time,Beginning Port,Ending Port,Objective
100,Gulf of Mexico,1/10/1985 18:00,1/29/1985 05:40,"Pasgagoula, Mississippi","Miami, Florida",Shakedown Cruise.
101,Bahamas Carbonate Platforms,1/29/1985 05:40,3/14/1985 01:15,"Miami, Florida","Miami, Florida",Determination of development of the Bahamas carbonate platform.
102,Western Atlantic,3/14/1985 01:15,4/25/1985 08:15,"Miami, Florida","Ponta Delgada, Azores Portugal",To conduct logging and geophysical experiments to determine in-situ geophysical behavior of old oceanic basement.
103,Galicia Bank,4/25/1985 08:15,6/19/1985 16:30,"Ponta Delgada, Azores Portugal","Bremerhaven, Germany","To elucidate the history of rifting, subsidence, and sedimentation on the Galacia margin and the beginning of seafloor spreading."
104,Norwegian Sea,6/19/1985 16:30,8/23/1985 15:35,"Bremerhaven, Germany","St. John's, Newfoundland","To study age and nature of dipping reflectors and underlying basement, history of passive margin, paleoceanographic, paleoclimatic, and evolution of flora and fauna of the Norwegian-Greenland Sea."
105,Labrador Sea - Baffin Bay,8/23/1985 15:35,10/27/1985 03:15,"St. John's, Newfoundland","St. John's, Newfoundland",To study the early tectonic and paleoceanographic history of the North Atlantic and its connection to the Arctic Ocean through time.
106,Mid-Atlantic Sea,10/27/1985 03:15,12/26/1985 21:00,"St. John's, Newfoundland","Malaga, Spain","Dedicated to establishing the first hole in zero-age crust in a well-studied portion of the Mid-Atlantic Ridge rift valley, south of the Kane fracture Zone. (With Leg 109)"
107,Tyrrhenian Sea,12/26/1985 21:00,2/18/1986 07:42,"Malaga, Spain","Port Marseille, France",To determine the timing and rate of extension and subsidence during the stretching phase as well as during the stage of oceanic crust emplacement.
108,Northwest Africa,2/18/1986 07:42,4/17/1986 06:45,"Port Marseille, France","Dakar, Senegal",For high resolution paleoclimatic studies of Neogene sediments.
109,Mid-Atlantic Ridge,4/17/1986 06:45,6/19/1986 17:00,"Dakar, Senegal","Bridgetown Harbor, Barbados","Dedicated to establishing the first hole in zero-age crust in a well-studied portion of the Mid-Atlantic Ridge rift valley, south of the Kane fracture Zone. (With Leg 106)"
110,Lesser Antilles,6/19/1986 17:00,8/16/1986 00:45,"Bridgetown Harbor, Barbados","Bridgetown Harbor, Barbados","To investigate geologic and hydrologic problems along the northern Barbados Ridge by penetrating the accretionary prism, the decollement and underthrust sediment to the oceanic crust."
111,Panama Basin,8/16/1986 00:45,10/20/1986 01:45,"Bridgetown Harbor, Barbados","Callao, Peru",To deepen and log Hole 504B; focus on coring and logging the sheeted dike complex.
112,Peru Margin,10/20/1986 01:45,12/25/1986 05:00,"Callao, Peru","Valparaiso, Chile","Discovering the amplitude and timing of vertical tectonic movement of the Andean Continental Margin, and to date the onset and determine the response of the coastal upwelling circulation regime to tectonic and climatic forcing."
113,Weddell Sea,12/25/1986 05:00,3/11/1987 04:00,"Valparaiso, Chile","East Cove, Falkland Islands","To address the formation and history of the Antarctic ice-sheets, Antarctic bottom water, oceanic planktonic production, and evolution of the Antarctic planktonic and benthic biota in the Weddell Sea."
114,Subantarctic South Atlantic,3/11/1987 04:00,5/13/1987 15:00,"East Cove, Falkland Islands","Port Louis Harbor, Mauritius","To document the climatic, glacial, and oceanographic history of the region within the context of a more complete and detailed geochronologic framework than previously available."
115,Mascarene Plateau,5/13/1987 15:00,7/2/1987 12:45,"Port Louis Harbor, Mauritius","Port of Colombo, Sri Lanka",To examine paleoceanograpy and stratigraphy in the tropical Indian Ocean and hotspot volcanism of the elevated plateaus and ridges scattered throughout the basin.
116,Bengal Fan,7/2/1987 12:45,8/19/1987 15:15,"Port of Colombo, Sri Lanka","Port of Colombo, Sri Lanka","To determine onset and history of intraplate deformation, to characterize the lithofacies, diagenesis, and provenance of the Bengal Fan."
117,Oman Margin,8/19/1987 15:15,10/18/1987 07:00,"Port of Colombo, Sri Lanka","Port Louis Harbor, Mauritius","To explore the origin, evolution, and variablitiy of the Indian Ocean Monsoon and its effect on the oceanic environments of the western Arabian Sea and the paleoclimates of tropical Africa, Arabia, India and Asia."
118,Southwest Indian Ridge,10/18/1987 07:00,12/14/1987 06:15,"Port Louis Harbor, Mauritius","Port Louis Harbor, Mauritius",To drill a deep hole in upper mantle peridotite with the aid of a hard rock guidebase and to conduct geophysical logging and other downhole measurements.
119,Prydz Bay,12/14/1987 06:15,2/21/1988 15:10,"Port Louis Harbor, Mauritius","Port of Fremantle, Australia","A transect, along with Leg 120, to study the Late Cretaceous to Holocene paleoclimatic history of East Antarctic, tectonic history of the Kerguelen Plateau, and the late Mesozoic rifting history of the Indian plate from East Antarctica."
120,South Kerguelen,2/21/1988 15:10,4/30/1988 17:15,"Port of Fremantle, Australia","Port of Fremantle, Australia","A transect, along with Leg 119, to study the Late Cretaceous to Holocene paleoclimatic history of East Antarctic, tectonic history of the Kerguelen Plateau, and the late Mesozoic rifting history of the Indian plate from East Antarctica."
121,Broken Ridge,4/30/1988 09:15,6/28/1988 02:30,"Fremantle, Australia","Singapore, Singapore","To ascertain the age, lithology, and depositional depth of sediments at Broken Ridge, and to determine pre-, syn-, and post-rift deposits."
122,Exmouth Plateau,6/28/1988 02:30,8/28/1988 07:00,"Singapore, Singapore","Singapore, Singapore","To understand the Triassic-Jurassic rift history, the Cretaceous to Cenozoic post-breakup sedimentation and paleoenvironment and depositional sequences of the Exmouth Plateau."
123,Argo Abyssal Plain,8/28/1988 07:00,11/1/1988 07:00,"Singapore, Singapore","Singapore, Singapore",To address the final stages of rifting and the formation of volcanic basement and early oceanic sediments in the Argo and Gascoyne Abyssal plains.
124,"SE Asia Basins, Luzon Strait",11/1/1988 07:00,2/16/1989 06:00,"Singapore, Singapore","Apra Harbor, Guam - end 124E","To focus on the age, stratigraphy, paleoceanography, and stress of the rocks in the Sulu and Celebes Seas.124E - Dedicated to engineering development including Diamond Coring System (DCS), Navidrill (NCB), and Pressure Core Sampler (PCS)."
125,Bon Mar I,2/16/1989 06:00,4/18/1989 08:00,"Apra Harbor, Guam","Tokyo Harbor, Japan","To investigate the chemistry, timing and mechanism of emplacement of serpentinite seamounts and the tectonic history of the Izu-Bonin forearc."
126,Bon Mar II,4/18/1989 08:00,6/19/1989 07:00,"Tokyo Harbor, Japan","Tokyo Harbor, Japan","To determine differential uplift-subsidence, the nature of volcanism, and chemistry of the arc-background and uplift-subsidence, stratigraphy and chemistry of sedimentation, and nature of basement in the forearc region of Izu-Bonin Arc."
127,Japan Sea I,6/19/1989 07:00,8/21/1989 06:00,"Tokyo Harbor, Japan","Pusan Harbor, South Korea","To access the style and dynamics rifting of basement, to characterize the sedimentation and evolution, the age and history and magnitude and direction of the present stress field in the region."
128,Japan Sea II,8/21/1989 06:00,10/16/1989 08:00,"Pusan Harbor, South Korea","Pusan Harbor, South Korea","To obtain a master Miocene to Holocene paleoceanographic section, detail of the depositional history of a failed back-arc rift and to conduct downhole multiship geophysical experiments."
129,Old Pacific Crust,11/20/1989 20:00,1/19/1990 06:00,"Apra Harbor, Guam","Apra Harbor, Guam",To recover Jurassic sediment and oceanic crust that might be the oldest in the Pacific Ocean and possibly in the world oceans.
130,Ontong Java Plateau,1/19/1990 06:00,3/27/1990 06:30,"Apra Harbor, Guam","Apra Harbor, Guam","Recover a complete record of Neogene, Paleogene, and Late Cretaceous history, with the goal of achieving a detailed reconstruction of paleoceanography and paleoclimate."
131,Nankai Trough,3/27/1990 06:30,6/2/1990 06:00,"Apra Harbor, Guam","Pusan Harbor, South Korea","Elucidation of the influence of pore fluid of accretionary prism, mechanical state of deformed sediments, and the fabrics and structural styles of sediments before and after accretion."
132,West-Central Pacific,6/2/1990 06:00,8/4/1990 19:00,"Pusan Harbor, South Korea","Apra Harbor, Guam","To study the influence of pore fluid and hydrogeology of the accretionary prism, the mechanical state, fabrics and structural styles of sediments before and after accretion."
133,Northeast Australia,8/4/1990 19:00,10/11/1990 06:00,"Apra Harbor, Guam","Townsville, Australia","To define the sedimentary response to global changes in sea level in the late Cenozoic and Quaternary, and to define the influence of paleochemistry, paleoclimate, and paleoceanography on carbonate platforms."
134,Vanuatu,10/11/1990 06:00,12/17/1990 07:00,"Townsville, Australia","Suva, Fiji",To study processes involved in the evolution of a island arc within the zone of influence of arc-ridge collision
135,Lau Basin,12/17/1990 07:00,2/28/1991 07:00,"Suva, Fiji","Honolulu, Hawaii",To assess the nature and geologic history of the oceanic crust in the Lau Basin and Tonga Platform and to understand the processes that formed the island-arc systems on its east and west boundaries.
136,OSN-1,2/28/1991 07:00,3/20/1991 08:15,"Honolulu, Hawaii","Honolulu, Hawaii",To prepare a seafloor site for future experiments needed to develop the Ocean Seismographic Network (OSN).
137,Hole 504B,3/20/1991 08:15,5/1/1991 06:15,"Honolulu, Hawaii","Balboa Harbor, Panama",To revisit Hole 504B in the eastern equatorial Pacific to recondition the hole for future ODP operations.
138,East Equatorial Pacific,5/1/1991 06:15,7/4/1991 15:30,"Balboa Harbor, Panama","San Diego, California","Recover complete, high resolution paleoclimatic records of the eastern equatorial Pacific Ocean."
139,Sedimented Ridges,7/4/1991 15:30,9/11/1991 07:00,"San Diego, California","Victoria, British Columbia",To characterize the hydrothermal discharge and mineralization in the Juan de Fuca Ridge rift on a regional scale.
140,Hole 504B,9/11/1991 07:00,11/12/1991 10:00,"Victoria, British Columbia","Port Balboa, Panama",The primary objective was to revisit Hole 504B in the eastern equatorial Pacific to deepen it into the sheeted dike complex toward and through the dike-gabbro and-or seismic Layer 2-3 transitions.
141,Chile Triple Junction,11/12/1991 10:00,1/12/1992 17:30,"Balboa Harbor, Panama","Valparaiso, Chile","Focused on the effects of spreading-ridge subduction, the timing, rate, amplitude of vertical motion in the forearc, the seaward limit of continental crust, and the nature, petrology and chemical affinities of near trench volcanism."
142,East Pacific Rise,1/12/1992 17:30,3/18/1992 10:00,"Valparaiso, Chile","Honolulu, Hawaii",To continue testing and development of engineering equipment as well as to provide scientific results from the East Pacific Rise.
143,Atolls and Guyots I,3/18/1992 10:00,5/19/1992 12:00,"Honolulu, Hawaii","Majuro Atoll, Marshall Islands","To address a number of problems concerning guyot development including: timing and causes of platform drowning, timing and amplitude of sea level changes, and seamount latitude changes."
144,Atolls and Guyots II,5/19/1992 12:00,7/20/1992 07:30,"Majuro Atoll, Marshall Islands","Yokohama, Japan","To address a number of problems concerning guyot development including: timing and causes of platform drowning, timing and amplitude of sea level changes, and seamount latitude changes."
145,North Pacific Transect,7/20/1992 07:30,9/20/1992 10:30,"Yokohama, Japan","Victoria, British Columbia",To enhance understanding of the paleoceanography and paleoclimatology of the North Pacific Ocean.
146,Cascadia,9/20/1992 10:30,11/22/1992 07:45,"Victoria, British Columbia","Port of San Diego, California","To evaluate the role of fluid flow in the structural development of the Cascadia accretionary wedge and to determine how that flow controls the composition, distribution, concentration and flux of biogeochemical species."
147,Hess Deep,11/22/1992 07:45,1/21/1993 09:45,"Port of San Diego, California","Balboa Harbor, Panama",To address questions concerning crustal and upper mantle processes.
148,Hole 504B,1/21/1993 09:45,3/10/1993 11:35,"Balboa Harbor, Panama","Balboa Harbor, Panama",To deepen Hole 504B with the main goals of penetrating into oceanic Layer 3 and determining the nature of the transition from Layer 2 to Layer 3.
149,Iberian Abyssal Plain,3/10/1993 11:35,5/25/1993 08:30,"Balboa Harbor, Panama","Lisbon Harbor, Portugal",The principal objective of Leg 149 was to sample the upper crust within the OCT of the Iberian Abyssal Plain to establish its nature and to test some of the predictions based on geophysical observations.
150,New Jersey Sea Level Transect,5/25/1993 08:30,7/24/1993 19:45,"Lisbon Harbor, Portugal","St. John's, Newfoundland",Address sea-level history recorded in siliciclastic sequences from a passive margin.
