"leg_exp","site","variable","value","other","Pleistocene","Pliocene","Miocene","Oligocene","Eocene","Paleocene","Cretaceous","sort_old","crunch_old","all_ages2","Latitude_DD","Longitude_DD","program","repository"
"1","1","Pleistocene","Pleistocene",NA,"Pleistocene",NA,NA,NA,NA,NA,NA,NA,NA,"Pleistocene",25.8583,-92.1833,"DSDP","GCR"
"1","2","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,"Cretaceous","Jurassic",NA,"Pleistocene, Pliocene, Miocene, Cretaceous, Jurassic",23.455,-92.58667,"DSDP","GCR"
"1","2","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,"Cretaceous","Jurassic",NA,"Pleistocene, Pliocene, Miocene, Cretaceous, Jurassic",23.455,-92.58667,"DSDP","GCR"
"1","2","sort_old","Jurassic",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,"Cretaceous","Jurassic",NA,"Pleistocene, Pliocene, Miocene, Cretaceous, Jurassic",23.455,-92.58667,"DSDP","GCR"
"1","2","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,"Cretaceous","Jurassic",NA,"Pleistocene, Pliocene, Miocene, Cretaceous, Jurassic",23.455,-92.58667,"DSDP","GCR"
"1","2","Cretaceous","Cretaceous",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,"Cretaceous","Jurassic",NA,"Pleistocene, Pliocene, Miocene, Cretaceous, Jurassic",23.455,-92.58667,"DSDP","GCR"
"1","3","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.03,-92.0433,"DSDP","GCR"
"1","3","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.03,-92.0433,"DSDP","GCR"
"1","3","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.03,-92.0433,"DSDP","GCR"
"1","4","Pliocene","Pliocene",NA,"Pleistocene","Pliocene",NA,NA,NA,NA,"Cretaceous",NA,NA,"Pleistocene, Pliocene, Cretaceous",24.478,-73.792,"DSDP","GCR"
"1","4","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene",NA,NA,NA,NA,"Cretaceous",NA,NA,"Pleistocene, Pliocene, Cretaceous",24.478,-73.792,"DSDP","GCR"
"1","4","Cretaceous","Cretaceous",NA,"Pleistocene","Pliocene",NA,NA,NA,NA,"Cretaceous",NA,NA,"Pleistocene, Pliocene, Cretaceous",24.478,-73.792,"DSDP","GCR"
"1","5","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene",NA,NA,"Cretaceous","Jurassic",NA,"Pleistocene, Pliocene, Miocene, Oligocene, Cretaceous, Jurassic",24.7265,-73.641,"DSDP","GCR"
"1","5","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene",NA,NA,"Cretaceous","Jurassic",NA,"Pleistocene, Pliocene, Miocene, Oligocene, Cretaceous, Jurassic",24.7265,-73.641,"DSDP","GCR"
"1","5","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene",NA,NA,"Cretaceous","Jurassic",NA,"Pleistocene, Pliocene, Miocene, Oligocene, Cretaceous, Jurassic",24.7265,-73.641,"DSDP","GCR"
"1","5","Oligocene","Oligocene",NA,"Pleistocene","Pliocene","Miocene","Oligocene",NA,NA,"Cretaceous","Jurassic",NA,"Pleistocene, Pliocene, Miocene, Oligocene, Cretaceous, Jurassic",24.7265,-73.641,"DSDP","GCR"
"1","5","Cretaceous","Cretaceous",NA,"Pleistocene","Pliocene","Miocene","Oligocene",NA,NA,"Cretaceous","Jurassic",NA,"Pleistocene, Pliocene, Miocene, Oligocene, Cretaceous, Jurassic",24.7265,-73.641,"DSDP","GCR"
"1","5","sort_old","Jurassic",NA,"Pleistocene","Pliocene","Miocene","Oligocene",NA,NA,"Cretaceous","Jurassic",NA,"Pleistocene, Pliocene, Miocene, Oligocene, Cretaceous, Jurassic",24.7265,-73.641,"DSDP","GCR"
"1","6","Eocene","Eocene",NA,NA,NA,NA,NA,"Eocene",NA,NA,NA,NA,"Eocene",30.8398,-67.6477,"DSDP","GCR"
"1","7","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene",NA,NA,"Eocene",NA,NA,NA,NA,"Pleistocene, Pliocene, Eocene",30.134,-68.2967,"DSDP","GCR"
"1","7","Eocene","Eocene",NA,"Pleistocene","Pliocene",NA,NA,"Eocene",NA,NA,NA,NA,"Pleistocene, Pliocene, Eocene",30.134,-68.2967,"DSDP","GCR"
"1","7","Pliocene","Pliocene",NA,"Pleistocene","Pliocene",NA,NA,"Eocene",NA,NA,NA,NA,"Pleistocene, Pliocene, Eocene",30.134,-68.2967,"DSDP","GCR"
"10","85","Pleistocene","Pleistocene",NA,"Pleistocene",NA,NA,NA,NA,NA,NA,NA,NA,"Pleistocene",22.8415,-91.4228,"DSDP","GCR"
"10","86","Oligocene","Oligocene",NA,"Pleistocene","Pliocene",NA,"Oligocene",NA,"Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Oligocene, Paleocene, Cretaceous",22.8747,-90.9625,"DSDP","GCR"
"10","86","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene",NA,"Oligocene",NA,"Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Oligocene, Paleocene, Cretaceous",22.8747,-90.9625,"DSDP","GCR"
"10","86","Pliocene","Pliocene",NA,"Pleistocene","Pliocene",NA,"Oligocene",NA,"Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Oligocene, Paleocene, Cretaceous",22.8747,-90.9625,"DSDP","GCR"
"10","86","Paleocene","Paleocene",NA,"Pleistocene","Pliocene",NA,"Oligocene",NA,"Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Oligocene, Paleocene, Cretaceous",22.8747,-90.9625,"DSDP","GCR"
"10","86","Cretaceous","Cretaceous",NA,"Pleistocene","Pliocene",NA,"Oligocene",NA,"Paleocene","Cretaceous",NA,NA,"Pleistocene, Pliocene, Oligocene, Paleocene, Cretaceous",22.8747,-90.9625,"DSDP","GCR"
"10","87","Miocene","Miocene",NA,NA,NA,"Miocene",NA,NA,NA,NA,NA,NA,"Miocene",23.015,-92.086,"DSDP","GCR"
"10","88","Pleistocene","Pleistocene",NA,"Pleistocene",NA,NA,NA,NA,NA,NA,NA,NA,"Pleistocene",21.3822,-94.0035,"DSDP","GCR"
"10","89","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",20.8902,-95.1122,"DSDP","GCR"
"10","89","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",20.8902,-95.1122,"DSDP","GCR"
"10","89","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",20.8902,-95.1122,"DSDP","GCR"
"10","90","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.7967,-94.7682,"DSDP","GCR"
"10","90","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.7967,-94.7682,"DSDP","GCR"
"10","90","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.7967,-94.7682,"DSDP","GCR"
"10","91","Miocene","Miocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.7733,-93.3462,"DSDP","GCR"
"10","91","Pliocene","Pliocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.7733,-93.3462,"DSDP","GCR"
"10","91","Pleistocene","Pleistocene",NA,"Pleistocene","Pliocene","Miocene",NA,NA,NA,NA,NA,NA,"Pleistocene, Pliocene, Miocene",23.7733,-93.3462,"DSDP","GCR"
