"Exp","Site","Hole","Latitude_DD","Longitude_DD","Water.depth..m.","Penetration.DSF..m.","Cored.interval..m.","Recovered.length..m.","Recovery....","Drilled.interval..m.","Drilled.interval..no..","Total.cores..no..","APC.cores..no..","HLAPC.cores..no..","XCB.cores..no..","RCB.cores..no..","Other.cores..no..","Date.started..UTC.","Date.finished..UTC.","Time.on.hole..days.","Comments","Latitude","Longitude","program","repository"
"1","1","*",25.8583,-92.1833,2827,86.3,77.2,58.7,76.04,9.1,1,9,0,0,0,8,1,NA,NA,0,NA,"25 51.498 N","92 10.998 W","DSDP","GCR"
"1","2","*",23.455,-92.58667,3572,26.5,26.5,12.1,45.66,NA,0,5,0,0,0,5,0,NA,NA,0,NA,"23 27.3 N","92 35.2002 W","DSDP","GCR"
"1","3","*",23.03,-92.0433,3747,99.2,99.2,46.6,46.98,NA,0,11,0,0,0,11,0,NA,NA,0,NA,"23 1.8 N","92 2.598 W","DSDP","GCR"
"1","4","*",24.478,-73.792,5319,36.7,36.7,12.9,35.15,NA,0,4,0,0,0,4,0,NA,NA,0,NA,"24 28.68 N","73 47.52 W","DSDP","GCR"
"1","4","A",24.478,-73.792,5319,18.2,18.2,5.7,31.32,NA,0,2,0,0,0,2,0,NA,NA,0,NA,"24 28.68 N","73 47.52 W","DSDP","GCR"
"1","5","*",24.7265,-73.641,5354,27.4,27.4,6.4,23.36,NA,0,3,0,0,0,3,0,NA,NA,0,NA,"24 43.59 N","73 38.46 W","DSDP","GCR"
"1","5","A",24.7265,-73.641,5354,58.3,58.3,1.9,3.26,NA,0,7,0,0,0,7,0,NA,NA,0,NA,"24 43.59 N","73 38.46 W","DSDP","GCR"
"1","6","*",30.8398,-67.6477,5124,46.6,46.6,28.3,60.73,NA,0,6,0,0,0,6,0,NA,NA,0,NA,"30 50.388 N","67 38.862 W","DSDP","GCR"
"1","6","A",30.8398,-67.6477,5124,8.9,8.9,8.9,100,NA,0,1,0,0,0,1,0,NA,NA,0,NA,"30 50.388 N","67 38.862 W","DSDP","GCR"
"1","7","*",30.134,-68.2967,5182,9.7,9.7,9.7,100,NA,0,2,0,0,0,2,0,NA,NA,0,NA,"30 8.04 N","68 17.802 W","DSDP","GCR"
"1","7","A",30.134,-68.2967,5182,19.8,18.3,4.5,24.59,1.5,1,2,0,0,0,2,0,NA,NA,0,NA,"30 8.04 N","68 17.802 W","DSDP","GCR"
"10","85","*",22.8415,-91.4228,3749,212.6,38.6,34.98,90.62,174,5,5,0,0,0,5,0,NA,"02/22/1970 18:00",0,NA,"22 50.49 N","91 25.368 W","DSDP","GCR"
"10","85","A",22.8415,-91.4228,3749,302,39,0.5,1.28,263,2,2,0,0,0,2,0,NA,"02/24/1970 11:30",0,NA,"22 50.49 N","91 25.368 W","DSDP","GCR"
"10","86","*",22.8747,-90.9625,1481,691.1,102.6,42.6,41.52,588.5,11,14,0,0,0,14,0,NA,"02/26/1970 22:30",0,NA,"22 52.482 N","90 57.75 W","DSDP","GCR"
"10","87","*",23.015,-92.086,3761,700,9,2.5,27.78,691,2,1,0,0,0,1,0,NA,NA,0,NA,"23 0.9 N","92 5.16 W","DSDP","GCR"
"10","88","*",21.3822,-94.0035,2532,135,32,33,103.13,103,3,5,0,0,0,5,0,"03/04/1970 11:30","03/04/1970 21:00",0,NA,"21 22.932 N","94 0.21 W","DSDP","GCR"
"10","89","*",20.8902,-95.1122,3067,380,35.5,26,73.24,344.5,5,6,0,0,0,6,0,"03/05/1970 21:30","03/06/1970 19:30",0,NA,"20 53.412 N","95 6.732 W","DSDP","GCR"
"10","90","*",23.7967,-94.7682,3713,768,86.5,57.5,66.47,681.5,11,13,0,0,0,13,0,"03/09/1970 09:30","03/11/1970 02:00",0,NA,"23 47.802 N","94 46.092 W","DSDP","GCR"
"10","91","*",23.7733,-93.3462,3763,899.6,208.6,149.99,71.9,691,10,25,0,0,0,25,0,NA,"03/15/1970 01:00",0,NA,"23 46.398 N","93 20.772 W","DSDP","GCR"
"10","92","*",25.8448,-91.8215,2573,282,74,39.9,53.92,208,6,11,0,0,0,11,0,"03/16/1970 14:00",NA,0,NA,"25 50.688 N","91 49.29 W","DSDP","GCR"
"10","93","*",22.6208,-91.4797,3090,1.5,1.5,1.7,113.33,NA,0,1,0,0,0,1,0,NA,NA,0,NA,"22 37.248 N","91 28.782 W","DSDP","GCR"
"10","94","*",24.5273,-88.4693,1793,660.7,295.7,175.2,59.25,365,15,40,0,0,0,40,0,"03/22/1970 22:00","03/26/1970 08:45",0,NA,"24 31.638 N","88 28.158 W","DSDP","GCR"
"10","95","*",24.15,-86.3975,1633,463,170,118.1,69.47,293,10,22,0,0,0,22,0,"03/27/1970 08:00","03/30/1970 00:00",0,NA,"24 9 N","86 23.85 W","DSDP","GCR"
"10","96","*",23.7427,-85.7633,3439,332,38,27.6,72.63,294,4,5,0,0,0,5,0,NA,NA,0,NA,"23 44.562 N","85 45.798 W","DSDP","GCR"
"10","97","*",23.8842,-84.4457,2930,337,59,35.9,60.85,278,6,12,0,0,0,12,0,"04/01/1970 13:15","04/03/1970 16:45",0,NA,"23 53.052 N","84 26.742 W","DSDP","GCR"
"100","625","A",28.8316666666667,-87.16,889,2.8,2.8,2.8,100,NA,0,1,0,0,0,1,5,NA,NA,0,NA,"28 49.9 N","87 9.6 W","ODP","GCR"
"100","625","B",28.8316666666667,-87.16,889,235.2,235.2,222.22,94.48,NA,0,27,23,0,4,0,0,NA,NA,0,NA,"28 49.9 N","87 9.6 W","ODP","GCR"
"100","625","C",28.8316666666667,-87.16,889,39.5,39.5,39.36,99.65,NA,0,4,4,0,0,0,0,NA,NA,0,NA,"28 49.9 N","87 9.6 W","ODP","GCR"
"101","626","A",25.6000216666667,-79.5467666666667,846.8,12.8,12.8,5.01,39.14,NA,0,2,0,0,0,2,0,"02/01/1985 12:55","02/01/1985 18:25",0,NA,"25 36.0013 N","79 32.806 W","ODP","BCR"
"101","626","B",25.6006216666667,-79.5467666666667,860,19.2,19.2,6.97,36.3,NA,0,2,0,0,0,2,3,"02/02/1985 10:55","02/03/1985 01:50",0,NA,"25 36.0373 N","79 32.806 W","ODP","BCR"
"101","626","C",25.6003116666667,-79.5466666666667,855,179.3,179.3,66.84,37.28,NA,0,19,7,0,12,0,0,"02/03/1985 16:45","02/04/1985 22:45",0,NA,"25 36.0187 N","79 32.8 W","ODP","BCR"
"101","626","D",25.6003116666667,-79.5467666666667,854,267.4,267.4,9.72,3.64,NA,0,28,0,0,0,28,0,"02/05/1985 22:15","02/07/1985 22:22",0,NA,"25 36.0187 N","79 32.806 W","ODP","BCR"
"101","627","A",27.635,-78.2942,1026,8.8,8.8,9.47,107.61,NA,0,1,1,0,0,0,0,"02/10/1985 16:00",NA,0,NA,"27 38.1 N","78 17.652 W","ODP","BCR"
"101","627","B",27.635,-78.2942,1036,535.8,535.8,350.96,65.5,NA,0,60,16,0,44,0,0,"02/10/1985 18:00","02/16/1985 01:25",0,NA,"27 38.1 N","78 17.652 W","ODP","BCR"
"101","628","A",27.5308,-78.3158,974,298.4,298.4,217.49,72.89,NA,0,32,21,0,11,0,0,"02/18/1985 07:15","02/19/1985 13:30",0,NA,"27 31.848 N","78 18.948 W","ODP","BCR"
"101","629","A",27.4065,-78.3683,563,27.1,27.1,6.24,23.03,NA,0,3,2,0,1,0,0,"02/20/1985 00:01","02/20/1985 02:30",0,NA,"27 24.39 N","78 22.098 W","ODP","BCR"
"101","630","A",27.449,-78.3405,815,250.3,250.3,220.65,88.15,NA,0,26,18,0,8,0,0,"02/20/1985 13:20","02/21/1985 08:50",0,NA,"27 26.94 N","78 20.43 W","ODP","BCR"
"101","630","B",27.449,-78.3405,815,79.9,79.9,79.68,99.72,NA,0,9,9,0,0,0,0,"02/21/1985 11:50","02/21/1985 18:15",0,NA,"27 26.94 N","78 20.43 W","ODP","BCR"
"101","630","C",27.449,-78.3405,815,9.3,9.3,9.31,100.11,NA,0,1,1,0,0,0,0,"02/21/1985 19:42",NA,0,NA,"27 26.94 N","78 20.43 W","ODP","BCR"
"101","631","A",23.5867,-75.7427,1102,244.3,244.3,161.16,65.97,NA,0,25,10,0,15,0,0,"02/23/1985 14:30","02/24/1985 18:00",0,NA,"23 35.202 N","75 44.562 W","ODP","BCR"
"101","632","A",23.8407,-75.4355,2007,141,141,83.45,59.18,NA,0,16,11,0,5,0,0,"02/25/1985 14:55","02/26/1985 12:10",0,NA,"23 50.442 N","75 26.13 W","ODP","BCR"
"101","632","B",23.8407,-75.4355,2007,162.7,162.7,34.96,21.49,NA,0,17,0,0,0,17,0,"02/27/1985 12:10","02/28/1985 13:30",0,NA,"23 50.442 N","75 26.13 W","ODP","BCR"
"101","633","A",23.6885,-75.6235,1690,228.3,228.3,111.34,48.77,NA,0,24,9,0,15,0,0,"03/01/1985 11:45","03/02/1985 14:00",0,NA,"23 41.31 N","75 37.41 W","ODP","BCR"
"101","634","A",25.3837,-77.3147,2864,322.5,322.5,27.85,8.64,NA,0,32,0,0,0,32,0,"03/04/1985 03:20","03/07/1985 10:10",0,NA,"25 23.022 N","77 18.882 W","ODP","BCR"
"101","635","A",25.4188,-77.332,3445,20.1,20.1,6.39,31.79,NA,0,3,0,0,0,3,0,"03/09/1985 09:45","03/09/1985 14:30",0,NA,"25 25.128 N","77 19.92 W","ODP","BCR"
"101","635","B",25.4197,-77.333,3483,117.7,117.7,31.3,26.59,NA,0,14,0,0,0,14,0,"03/09/1985 22:30","03/12/1985 04:00",0,NA,"25 25.182 N","77 19.98 W","ODP","BCR"
"101","636","A",25.4185,-77.3058,3581,3,3,0.07,2.33,NA,0,1,0,0,0,1,1,"03/12/1985 19:15","03/13/1985 01:23",0,NA,"25 25.11 N","77 18.348 W","ODP","BCR"
"102","418","A",25.035,-68.0572883333333,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,"25 2.1 N","68 3.4373 W","ODP","no recovery"
"103","637","A",42.0883,-12.8633,5311,285.6,285.6,116.33,40.73,NA,0,30,0,0,0,30,0,"04/29/1985 20:45","05/03/1985 14:50",0,NA,"42 5.298 N","12 51.798 W","ODP","BCR"
"103","638","A",42.1533,-12.1967,4673,44.6,44.6,0,0,NA,0,1,0,0,0,0,1,"05/06/1985 01:35",NA,0,NA,"42 9.198 N","12 11.802 W","ODP","BCR"
"103","638","B",42.1533,-12.1967,4673,431.1,431.1,212.87,49.38,NA,0,45,0,0,0,45,0,"05/06/1985 03:45","05/11/1985 01:45",0,NA,"42 9.198 N","12 11.802 W","ODP","BCR"
"103","638","C",42.1533,-12.1967,4673,135.2,135.2,37.7,27.88,NA,0,14,0,0,0,14,0,"05/18/1985 11:30","05/22/1985 06:35",0,NA,"42 9.198 N","12 11.802 W","ODP","BCR"
"103","639","A",42.1433,-12.2483,4735,89.8,89.8,35.72,39.78,NA,0,10,0,0,0,10,0,"05/23/1985 21:45","05/25/1985 22:45",0,NA,"42 8.598 N","12 14.898 W","ODP","BCR"
"103","639","B",42.1433,-12.25,4758,26.2,26.2,12.67,48.36,NA,0,4,0,0,0,4,0,"05/26/1985 15:05","05/27/1985 07:15",0,NA,"42 8.598 N","12 15 W","ODP","BCR"
"103","639","C",42.1433,-12.2517,4792,22.4,22.4,4.84,21.61,NA,0,2,0,0,0,2,0,"05/27/1985 18:09","05/27/1985 20:45",0,NA,"42 8.598 N","12 15.102 W","ODP","BCR"
"103","639","D",42.1433,-12.255,4753,113.5,113.5,24.5,21.59,NA,0,12,0,0,0,12,1,"05/28/1985 07:00","05/30/1985 14:15",0,NA,"42 8.598 N","12 15.3 W","ODP","BCR"
"103","639","E",42.1433,-12.2567,4770,38.5,38.5,1.95,5.06,NA,0,4,0,0,0,4,0,"06/06/1985 20:00","06/07/1985 10:00",0,NA,"42 8.598 N","12 15.402 W","ODP","BCR"
"103","639","F",42.1433,-12.2583,4771,13,13,0.89,6.85,NA,0,2,0,0,0,2,0,"06/07/1985 22:30","06/08/1985 10:20",0,NA,"42 8.598 N","12 15.498 W","ODP","BCR"
