"Title","Keywords","Creator","Notes","Duration","Special","YouTube.Link","YouTube.Channel","Exp.or.Group"
"1 - Overview 4-9-08_512K","Science","Ocean Leadership","video partially corrupted","00:02:19",NA,"unavailable - contact JRSO/USSSP","NA","Smithsonian"
"2 - Jan Backman 4-9-08_512K","Science","Ocean Leadership","video partially corrupted","00:02:28",NA,"unavailable - contact JRSO/USSSP","NA","Smithsonian"
"2012 Return to Juan de Fuca Expedition TN-284","Science","Lisa Strong",NA,"00:05:16","R/V Thompson","https://www.youtube.com/watch?v=oyfjTM3Aj50","OceanLeadership","327"
"2012 Return to Juan de Fuca Expedition TN-284","Derrick","Lisa Strong",NA,"00:05:16","R/V Thompson","https://www.youtube.com/watch?v=oyfjTM3Aj50","OceanLeadership","327"
"2012 Return to Juan de Fuca Expedition TN-284","Marine Life","Lisa Strong",NA,"00:05:16","R/V Thompson","https://www.youtube.com/watch?v=oyfjTM3Aj50","OceanLeadership","327"
"2012 Return to Juan de Fuca Expedition TN-284","Ocean","Lisa Strong",NA,"00:05:16","R/V Thompson","https://www.youtube.com/watch?v=oyfjTM3Aj50","OceanLeadership","327"
"3 - Bob Duncan 4-9-08_512K","Science","Ocean Leadership","video partially corrupted","00:02:10",NA,"unavailable - contact JRSO/USSSP","NA","Smithsonian"
"3 Second Everyday Video for JOIDES Resolution Exp383","Helipad","Sian Proctor",NA,"00:02:54",NA,"https://www.youtube.com/watch?v=DdEahYFOUVI","Dr. Sian Proctor","383"
"3 Second Everyday Video for JOIDES Resolution Exp383","Gangway/Pier","Sian Proctor",NA,"00:02:54",NA,"https://www.youtube.com/watch?v=DdEahYFOUVI","Dr. Sian Proctor","383"
"3 Second Everyday Video for JOIDES Resolution Exp383","Ocean","Sian Proctor",NA,"00:02:54",NA,"https://www.youtube.com/watch?v=DdEahYFOUVI","Dr. Sian Proctor","383"
"3 Second Everyday Video for JOIDES Resolution Exp383","Thrusters/DP","Sian Proctor",NA,"00:02:54",NA,"https://www.youtube.com/watch?v=DdEahYFOUVI","Dr. Sian Proctor","383"
"3 Second Everyday Video for JOIDES Resolution Exp383","Steel Beach","Sian Proctor",NA,"00:02:54",NA,"https://www.youtube.com/watch?v=DdEahYFOUVI","Dr. Sian Proctor","383"
"3 Second Everyday Video for JOIDES Resolution Exp383","Marine Life","Sian Proctor",NA,"00:02:54",NA,"https://www.youtube.com/watch?v=DdEahYFOUVI","Dr. Sian Proctor","383"
"3 Second Everyday Video for JOIDES Resolution Exp383","Life at Sea","Sian Proctor",NA,"00:02:54",NA,"https://www.youtube.com/watch?v=DdEahYFOUVI","Dr. Sian Proctor","383"
"3 Second Everyday Video for JOIDES Resolution Exp383","Derrick","Sian Proctor",NA,"00:02:54",NA,"https://www.youtube.com/watch?v=DdEahYFOUVI","Dr. Sian Proctor","383"
"3 Second Everyday Video for JOIDES Resolution Exp383","Moonpool","Sian Proctor",NA,"00:02:54",NA,"https://www.youtube.com/watch?v=DdEahYFOUVI","Dr. Sian Proctor","383"
"3 Second Everyday Video for JOIDES Resolution Exp383","Drilling/Rigfloor","Sian Proctor",NA,"00:02:54",NA,"https://www.youtube.com/watch?v=DdEahYFOUVI","Dr. Sian Proctor","383"
"3 Second Everyday Video for JOIDES Resolution Exp383","Labs","Sian Proctor",NA,"00:02:54",NA,"https://www.youtube.com/watch?v=DdEahYFOUVI","Dr. Sian Proctor","383"
"3 Second Everyday Video for JOIDES Resolution Exp383","Catwalk","Sian Proctor",NA,"00:02:54",NA,"https://www.youtube.com/watch?v=DdEahYFOUVI","Dr. Sian Proctor","383"
"3 Second Everyday Video for JOIDES Resolution Exp383","Core Splitting","Sian Proctor",NA,"00:02:54",NA,"https://www.youtube.com/watch?v=DdEahYFOUVI","Dr. Sian Proctor","383"
"309-312 Superfast 12-8-08 PM","Drilling/Rigfloor","Ocean Leadership","Duplicate of above","00:02:55",NA,"https://www.youtube.com/watch?v=GhT37qR-NsU","OceanDrilling","309/312"
"309-312 Superfast 12-8-08 PM","Derrick","Ocean Leadership","Duplicate of above","00:02:55",NA,"https://www.youtube.com/watch?v=GhT37qR-NsU","OceanDrilling","309/312"
"309-312 Superfast 12-8-08 PM","Catwalk","Ocean Leadership","Duplicate of above","00:02:55",NA,"https://www.youtube.com/watch?v=GhT37qR-NsU","OceanDrilling","309/312"
"309-312 Superfast 12-8-08 PM","Science","Ocean Leadership","Duplicate of above","00:02:55",NA,"https://www.youtube.com/watch?v=GhT37qR-NsU","OceanDrilling","309/312"
"309-312 Superfast 12-8-08 PM","Labs","Ocean Leadership","Duplicate of above","00:02:55",NA,"https://www.youtube.com/watch?v=GhT37qR-NsU","OceanDrilling","309/312"
"321 NSF tour ","Gangway/Pier",NA,"No audio","00:03:41",NA,"unavailable - contact JRSO/USSSP","NA","321"
"327_movie_636x358","Moonpool","Bill Crawford",NA,"01:18:46","FFF","unavailable - contact JRSO/USSSP","NA","327"
"327_movie_636x358","Helipad","Bill Crawford",NA,"01:18:46","FFF","unavailable - contact JRSO/USSSP","NA","327"
